#node,interface,mac,comments,disable
"node421","eth0","00:14:5E:F5:16:2E",,
"node422","eth0","00:14:5E:F5:1B:AC",,
"node423","eth0","00:14:5E:F5:15:DE",,
"node424","eth0","00:14:5E:6D:77:DC",,
"node1528","eth0","00:1D:09:FD:AE:84",,
"node1529","eth0","00:1D:09:FD:AF:8C",,
"node1530","eth0","00:1D:09:FD:AF:60",,
"node1531","eth0","00:1D:09:FD:AB:B4",,
"node1532","eth0","00:1D:09:FD:AD:DC",,
"node1533","eth0","00:1D:09:FD:B4:7C",,
"node1534","eth0","00:1D:09:FD:AE:54",,
"node1535","eth0","00:1D:09:FD:AF:28",,
"node1536","eth0","00:1D:09:FD:AD:28",,
"node1537","eth0","00:1D:09:FD:6C:98",,
"node1538","eth0","00:1D:09:FD:B0:E8",,
"node1539","eth0","00:1D:09:FD:B4:80",,
"node1540","eth0","00:1D:09:FD:B1:74",,
"node1541","eth0","00:1D:09:FD:B4:E4",,
"node1542","eth0","00:1D:09:FD:B0:E4",,
"node1543","eth0","00:1D:09:FD:B3:DC",,
"node1340","eth0","00:1D:09:FD:3F:98",,
"node1346","eth0","00:1D:09:FD:3F:08",,
"node1347","eth0","00:1D:09:FD:3E:08",,
"node1348","eth0","00:1D:09:FD:3E:28",,
"node1350","eth0","00:1D:09:FD:3E:10",,
"node1351","eth0","00:1D:09:FD:36:38",,
"node1544","eth0","00:1d:09:fd:b8:6c",,
"node1545","eth0","00:1d:09:fd:b7:9c",,
"node1546","eth0","00:1d:09:fd:b7:c4",,
"node1547","eth0","00:1d:09:fd:ad:1c",,
"node1548","eth0","00:1d:09:fd:ad:68",,
"node1549","eth0","00:1d:09:fd:b8:24",,
"node1550","eth0","00:1d:09:fd:b8:3c",,
"node1551","eth0","00:1d:09:fd:b7:44",,
"node1552","eth0","00:1d:09:fd:ae:40",,
"node1553","eth0","00:1d:09:fd:b8:08",,
"node1554","eth0","00:1d:09:fd:ae:50",,
"node1555","eth0","00:1d:09:fd:ba:e0",,
"node1556","eth0","00:1d:09:fd:ac:d8",,
"node1557","eth0","00:1d:09:fd:ae:38",,
"node1558","eth0","00:1d:09:fd:ad:60",,
"node1559","eth0","00:1d:09:fd:ad:44",,
"node383","eth0","00:14:5E:F5:22:0A",,
"node384","eth0","00:14:5E:F5:27:82",,
"node386","eth0","00:14:5E:F5:12:E2",,
"node387","eth0","00:14:5E:F5:09:28",,
"node388","eth0","00:14:5E:F5:11:80",,
"node389","eth0","00:14:5E:F5:21:E4",,
"node390","eth0","00:14:5E:F5:12:E0",,
"node391","eth0","00:14:5E:F5:24:72",,
"node392","eth0","00:14:5E:F5:05:02",,
"node393","eth0","00:14:5E:F5:19:E6",,
"node394","eth0","00:14:5E:F5:21:00",,
"node395","eth0","00:14:5E:F5:22:36",,
"node396","eth0","00:14:5E:F5:22:3A",,
"node1480","eth0","00:1d:09:fd:ac:d4",,
"node1481","eth0","00:1d:09:fd:a9:18",,
"node1482","eth0","00:1d:09:fd:ae:44",,
"node1483","eth0","00:1d:09:fd:a4:a0",,
"node1484","eth0","00:1d:09:fd:aa:44",,
"node1485","eth0","00:1d:09:fd:ab:20",,
"node1486","eth0","00:1d:09:fd:aa:70",,
"node1487","eth0","00:1d:09:fd:a7:6c",,
"node1488","eth0","00:1d:09:fd:a9:00",,
"node1489","eth0","00:1d:09:fd:ab:40",,
"node1490","eth0","00:1d:09:fd:a4:94",,
"node1491","eth0","00:1d:09:fd:a9:7c",,
"node1492","eth0","00:1d:09:fd:aa:cc",,
"node1493","eth0","00:1d:09:fd:a8:e8",,
"node1494","eth0","00:1d:09:fd:a9:e4",,
"node1495","eth0","00:1d:09:fd:9f:10",,
"node1464","eth0","00:1d:09:fd:a5:84",,
"node1465","eth0","00:1d:09:fd:a8:e4",,
"node1466","eth0","00:1d:09:fd:a9:44",,
"node1467","eth0","00:1d:09:fd:aa:c0",,
"node1468","eth0","00:1d:09:fd:a9:74",,
"node1469","eth0","00:1d:09:fd:a7:dc",,
"node1470","eth0","00:1d:09:fd:a7:e4",,
"node1471","eth0","00:1d:09:fd:a4:04",,
"node1472","eth0","00:1d:09:fd:aa:d8",,
"node1473","eth0","00:1d:09:fd:a4:ec",,
"node1474","eth0","00:1d:09:fd:a3:6c",,
"node1475","eth0","00:1d:09:fd:a4:f4",,
"node1476","eth0","00:1d:09:fd:a4:f0",,
"node1477","eth0","00:1d:09:fd:a5:14",,
"node1478","eth0","00:1d:09:fd:a9:58",,
"node1479","eth0","00:1d:09:fd:61:98",,
"node1160","eth0","00:1d:09:fc:e3:70",,
"node1161","eth0","00:1d:09:fc:e1:f0",,
"node1162","eth0","00:1d:09:fc:e0:b0",,
"node1163","eth0","00:1d:09:fc:e4:ac",,
"node1164","eth0","00:1d:09:fc:e2:e4",,
"node1165","eth0","00:1d:09:fc:e3:8c",,
"node1166","eth0","00:1d:09:fc:e0:00",,
"node1167","eth0","00:1d:09:fc:e3:30",,
"node1168","eth0","00:1d:09:fc:e0:88",,
"node1169","eth0","00:1d:09:fc:e4:9c",,
"node1170","eth0","00:1d:09:fc:e4:b0",,
"node1171","eth0","00:1d:09:fc:e3:28",,
"node1172","eth0","00:1d:09:fc:e0:08",,
"node1173","eth0","00:1d:09:fc:e4:a8",,
"node1174","eth0","00:1d:09:fc:df:f8",,
"node1175","eth0","00:1d:09:fc:e1:7c",,
"node1176","eth0","00:1d:09:fc:df:b8",,
"node1177","eth0","00:1d:09:fc:e1:b8",,
"node1178","eth0","00:1d:09:fc:e3:c0",,
"node1179","eth0","00:1d:09:fd:40:04",,
"node1180","eth0","00:1d:09:fc:d6:a8",,
"node1181","eth0","00:1d:09:fc:e1:78",,
"node1182","eth0","00:1d:09:fc:e1:ec",,
"node1183","eth0","00:1d:09:fc:e0:c0",,
"node1184","eth0","00:1d:09:fc:e2:04",,
"node1185","eth0","00:1d:09:fc:e4:9c",,
"node1186","eth0","00:1d:09:fc:e4:b0",,
"node1187","eth0","00:1d:09:fc:e3:28",,
"node1188","eth0","00:1d:09:fc:e0:08",,
"node1189","eth0","00:1d:09:fc:e4:a8",,
"node1190","eth0","00:1d:09:fc:df:f8",,
"node1191","eth0","00:1d:09:fc:e1:7c",,
"node1192","eth0","00:1d:09:fc:e5:30",,
"node1193","eth0","00:1d:09:fc:df:c0",,
"node1194","eth0","00:1d:09:fc:e2:9c",,
"node1195","eth0","00:1d:09:fc:e2:2c",,
